,0,1,2
0,1.0,19.0,19000.0
1,1.0,35.0,20000.0
2,0.0,26.0,43000.0
3,0.0,27.0,57000.0
4,1.0,19.0,76000.0
5,1.0,27.0,58000.0
6,0.0,27.0,84000.0
7,0.0,32.0,150000.0
8,1.0,25.0,33000.0
9,0.0,35.0,65000.0
10,0.0,26.0,80000.0
11,0.0,26.0,52000.0
12,1.0,20.0,86000.0
13,1.0,32.0,18000.0
14,1.0,18.0,82000.0
15,1.0,29.0,80000.0
16,1.0,47.0,25000.0
17,1.0,45.0,26000.0
18,1.0,46.0,28000.0
19,0.0,48.0,29000.0
20,1.0,45.0,22000.0
21,0.0,47.0,49000.0
22,1.0,48.0,41000.0
23,0.0,45.0,22000.0
24,1.0,46.0,23000.0
25,1.0,47.0,20000.0
26,1.0,49.0,28000.0
27,0.0,47.0,30000.0
28,1.0,29.0,43000.0
29,1.0,31.0,18000.0
30,1.0,31.0,74000.0
31,0.0,27.0,137000.0
32,0.0,21.0,16000.0
33,0.0,28.0,44000.0
34,1.0,27.0,90000.0
35,1.0,35.0,27000.0
36,0.0,33.0,28000.0
37,1.0,30.0,49000.0
38,0.0,26.0,72000.0
39,0.0,27.0,31000.0
40,0.0,27.0,17000.0
41,0.0,33.0,51000.0
42,1.0,35.0,108000.0
43,1.0,30.0,15000.0
44,0.0,28.0,84000.0
45,1.0,23.0,20000.0
46,1.0,25.0,79000.0
47,0.0,27.0,54000.0
48,1.0,30.0,135000.0
49,0.0,31.0,89000.0
50,0.0,24.0,32000.0
51,0.0,18.0,44000.0
52,0.0,29.0,83000.0
53,0.0,35.0,23000.0
54,0.0,27.0,58000.0
55,0.0,24.0,55000.0
56,0.0,23.0,48000.0
57,1.0,28.0,79000.0
58,1.0,22.0,18000.0
59,0.0,32.0,117000.0
60,1.0,27.0,20000.0
61,1.0,25.0,87000.0
62,0.0,23.0,66000.0
63,1.0,32.0,120000.0
64,0.0,59.0,83000.0
65,1.0,24.0,58000.0
66,1.0,24.0,19000.0
67,0.0,23.0,82000.0
68,0.0,22.0,63000.0
69,0.0,31.0,68000.0
70,1.0,25.0,80000.0
71,0.0,24.0,27000.0
72,0.0,20.0,23000.0
73,0.0,33.0,113000.0
74,1.0,32.0,18000.0
75,1.0,34.0,112000.0
76,1.0,18.0,52000.0
77,0.0,22.0,27000.0
78,0.0,28.0,87000.0
79,0.0,26.0,17000.0
80,1.0,30.0,80000.0
81,1.0,39.0,42000.0
82,1.0,20.0,49000.0
83,1.0,35.0,88000.0
84,0.0,30.0,62000.0
85,0.0,31.0,118000.0
86,1.0,24.0,55000.0
87,0.0,28.0,85000.0
88,1.0,26.0,81000.0
89,1.0,35.0,50000.0
90,1.0,22.0,81000.0
91,0.0,30.0,116000.0
92,1.0,26.0,15000.0
93,0.0,29.0,28000.0
94,0.0,29.0,83000.0
95,0.0,35.0,44000.0
96,0.0,35.0,25000.0
97,1.0,28.0,123000.0
98,1.0,35.0,73000.0
99,0.0,28.0,37000.0
100,1.0,27.0,88000.0
101,1.0,28.0,59000.0
102,0.0,32.0,86000.0
103,0.0,33.0,149000.0
104,0.0,19.0,21000.0
105,1.0,21.0,72000.0
106,0.0,26.0,35000.0
107,1.0,27.0,89000.0
108,1.0,26.0,86000.0
109,0.0,38.0,80000.0
110,0.0,39.0,71000.0
111,0.0,37.0,71000.0
112,1.0,38.0,61000.0
113,1.0,37.0,55000.0
114,1.0,42.0,80000.0
115,1.0,40.0,57000.0
116,1.0,35.0,75000.0
117,1.0,36.0,52000.0
118,1.0,40.0,59000.0
119,1.0,41.0,59000.0
120,0.0,36.0,75000.0
121,1.0,37.0,72000.0
122,0.0,40.0,75000.0
123,1.0,35.0,53000.0
124,0.0,41.0,51000.0
125,0.0,39.0,61000.0
126,1.0,42.0,65000.0
127,1.0,26.0,32000.0
128,1.0,30.0,17000.0
129,0.0,26.0,84000.0
130,1.0,31.0,58000.0
131,1.0,33.0,31000.0
132,1.0,30.0,87000.0
133,0.0,21.0,68000.0
134,0.0,28.0,55000.0
135,1.0,23.0,63000.0
136,0.0,20.0,82000.0
137,1.0,30.0,107000.0
138,0.0,28.0,59000.0
139,1.0,19.0,25000.0
140,1.0,19.0,85000.0
141,0.0,18.0,68000.0
142,1.0,35.0,59000.0
143,1.0,30.0,89000.0
144,0.0,34.0,25000.0
145,0.0,24.0,89000.0
146,0.0,27.0,96000.0
147,0.0,41.0,30000.0
148,1.0,29.0,61000.0
149,1.0,20.0,74000.0
150,0.0,26.0,15000.0
151,1.0,41.0,45000.0
152,1.0,31.0,76000.0
153,0.0,36.0,50000.0
154,1.0,40.0,47000.0
155,0.0,31.0,15000.0
156,1.0,46.0,59000.0
157,1.0,29.0,75000.0
158,1.0,26.0,30000.0
159,0.0,32.0,135000.0
160,1.0,32.0,100000.0
161,1.0,25.0,90000.0
162,0.0,37.0,33000.0
163,1.0,35.0,38000.0
164,0.0,33.0,69000.0
165,0.0,18.0,86000.0
166,0.0,22.0,55000.0
167,0.0,35.0,71000.0
168,1.0,29.0,148000.0
169,0.0,29.0,47000.0
170,1.0,21.0,88000.0
171,1.0,34.0,115000.0
172,0.0,26.0,118000.0
173,0.0,34.0,43000.0
174,0.0,34.0,72000.0
175,0.0,23.0,28000.0
176,0.0,35.0,47000.0
177,1.0,25.0,22000.0
178,1.0,24.0,23000.0
179,0.0,31.0,34000.0
180,1.0,26.0,16000.0
181,0.0,31.0,71000.0
182,0.0,32.0,117000.0
183,1.0,33.0,43000.0
184,0.0,33.0,60000.0
185,1.0,31.0,66000.0
186,0.0,20.0,82000.0
187,0.0,33.0,41000.0
188,1.0,35.0,72000.0
189,1.0,28.0,32000.0
190,1.0,24.0,84000.0
191,0.0,19.0,26000.0
192,1.0,29.0,43000.0
193,1.0,19.0,70000.0
194,1.0,28.0,89000.0
195,1.0,34.0,43000.0
196,0.0,30.0,79000.0
197,0.0,20.0,36000.0
198,1.0,26.0,80000.0
199,1.0,35.0,22000.0
200,1.0,35.0,39000.0
201,1.0,49.0,74000.0
202,0.0,39.0,134000.0
203,0.0,41.0,71000.0
204,0.0,58.0,101000.0
205,0.0,47.0,47000.0
206,0.0,55.0,130000.0
207,0.0,52.0,114000.0
208,0.0,40.0,142000.0
209,0.0,46.0,22000.0
210,0.0,48.0,96000.0
211,1.0,52.0,150000.0
212,0.0,59.0,42000.0
213,1.0,35.0,58000.0
214,1.0,47.0,43000.0
215,0.0,60.0,108000.0
216,1.0,49.0,65000.0
217,1.0,40.0,78000.0
218,0.0,46.0,96000.0
219,1.0,59.0,143000.0
220,0.0,41.0,80000.0
221,1.0,35.0,91000.0
222,1.0,37.0,144000.0
223,1.0,60.0,102000.0
224,0.0,35.0,60000.0
225,1.0,37.0,53000.0
226,0.0,36.0,126000.0
227,1.0,56.0,133000.0
228,0.0,40.0,72000.0
229,0.0,42.0,80000.0
230,0.0,35.0,147000.0
231,1.0,39.0,42000.0
232,1.0,40.0,107000.0
233,1.0,49.0,86000.0
234,0.0,38.0,112000.0
235,1.0,46.0,79000.0
236,1.0,40.0,57000.0
237,0.0,37.0,80000.0
238,0.0,46.0,82000.0
239,0.0,53.0,143000.0
240,1.0,42.0,149000.0
241,1.0,38.0,59000.0
242,0.0,50.0,88000.0
243,0.0,56.0,104000.0
244,0.0,41.0,72000.0
245,0.0,51.0,146000.0
246,0.0,35.0,50000.0
247,0.0,57.0,122000.0
248,1.0,41.0,52000.0
249,0.0,35.0,97000.0
250,0.0,44.0,39000.0
251,1.0,37.0,52000.0
252,0.0,48.0,134000.0
253,0.0,37.0,146000.0
254,0.0,50.0,44000.0
255,0.0,52.0,90000.0
256,0.0,41.0,72000.0
257,1.0,40.0,57000.0
258,0.0,58.0,95000.0
259,0.0,45.0,131000.0
260,0.0,35.0,77000.0
261,1.0,36.0,144000.0
262,0.0,55.0,125000.0
263,0.0,35.0,72000.0
264,1.0,48.0,90000.0
265,0.0,42.0,108000.0
266,1.0,40.0,75000.0
267,1.0,37.0,74000.0
268,0.0,47.0,144000.0
269,1.0,40.0,61000.0
270,0.0,43.0,133000.0
271,0.0,59.0,76000.0
272,1.0,60.0,42000.0
273,1.0,39.0,106000.0
274,0.0,57.0,26000.0
275,1.0,57.0,74000.0
276,1.0,38.0,71000.0
277,1.0,49.0,88000.0
278,0.0,52.0,38000.0
279,0.0,50.0,36000.0
280,0.0,59.0,88000.0
281,1.0,35.0,61000.0
282,1.0,37.0,70000.0
283,0.0,52.0,21000.0
284,1.0,48.0,141000.0
285,0.0,37.0,93000.0
286,0.0,37.0,62000.0
287,0.0,48.0,138000.0
288,1.0,41.0,79000.0
289,0.0,37.0,78000.0
290,1.0,39.0,134000.0
291,1.0,49.0,89000.0
292,1.0,55.0,39000.0
293,1.0,37.0,77000.0
294,0.0,35.0,57000.0
295,0.0,36.0,63000.0
296,1.0,42.0,73000.0
297,0.0,43.0,112000.0
298,1.0,45.0,79000.0
299,1.0,46.0,117000.0
300,0.0,58.0,38000.0
301,1.0,48.0,74000.0
302,0.0,37.0,137000.0
303,1.0,37.0,79000.0
304,0.0,40.0,60000.0
305,1.0,42.0,54000.0
306,0.0,51.0,134000.0
307,0.0,47.0,113000.0
308,1.0,36.0,125000.0
309,0.0,38.0,50000.0
310,0.0,42.0,70000.0
311,1.0,39.0,96000.0
312,0.0,38.0,50000.0
313,0.0,49.0,141000.0
314,0.0,39.0,79000.0
315,0.0,39.0,75000.0
316,0.0,54.0,104000.0
317,1.0,35.0,55000.0
318,1.0,45.0,32000.0
319,1.0,36.0,60000.0
320,0.0,52.0,138000.0
321,0.0,53.0,82000.0
322,1.0,41.0,52000.0
323,0.0,48.0,30000.0
324,0.0,48.0,131000.0
